index_label,material,Gap,type_gap,lattice,cbm_up,cbm_down,vbm_up,vbm_down,lexing,CBM-up,VBM-up,CBM-down,VBM-down
110,InAlSe2+SeInAlTe-2,1.924,Direct,3.994,0.0442,0.4402,0.3237,0.2628,5,-4.4110326,-6.3347326,-4.4001072,-6.3238072
111,InAlSe2+TeInGaS,0.415,Direct,3.947,0.6938,0,0.695,0,1,-4.5288963,-4.9434963,-4.4934412,-4.9080412
112,InAlSe2+SInGaTe-2,2.022,Indirect,3.963,0.153,0.3655,0.3104,0.3327,6,-4.3296577,-6.3521577,-4.3302907,-6.3527907
113,InAlSe2+SInAlTe-2,2.106,Indirect,3.958,0.061,0.4271,0.3428,0.2582,5,-4.4240104,-6.5296104,-4.3898684,-6.4954684
114,InAlSe2+SeInGaTe-1,1.731,Indirect,4.003,0.1172,0.3997,0.409,0.2523,6,-3.7674524,-5.4987524,-3.7482533,-5.4795533
115,InAlSe2+TeInAlSe,-0.591,Direct,3.975,0.6593,0.0197,0.12,0.3825,3,-4.634841,-4.044041,-4.5487906,-3.9579906
116,InAlSe2+InGaS2,2.05,Indirect,3.835,0.5746,0.0552,0.484,0.1807,5,-4.6018166,-6.6518166,-3.460354,-5.510354
117,InAlSe2+SGaAlTe-2,2.22,Indirect,3.885,0.0436,0.2899,0.4343,0.1447,5,-4.3154673,-6.5357673,-4.1598277,-6.3801277
118,InAlSe2+TeGaAlSe-2,1.855,Indirect,3.924,0.1564,0.1571,0.6788,0,5,-3.6197284,-5.4743284,-4.2316628,-6.0862628
119,InAlSe2+SGaAlTe-3,1.721,Direct,3.887,0.563,0.0301,0,0.7262,2,-3.2253817,-4.9465817,-4.9668616,-6.6880616
120,InAlSe2+SeInGaTe-3,1.93,Direct,3.998,0.2659,0.287,0.1964,0.419,6,-3.2977405,-5.2278405,-4.5234562,-6.4535562
121,InAlSe2+SInAlSe,1.845,Indirect,3.862,0.0109,0.3162,0.5169,0.0898,2,-5.1339551,-6.9788551,-3.2838631,-5.1287631
122,InAlSe2+SeGaAlTe-1,1.954,Indirect,3.932,0.1679,0.3452,0.3957,0.1962,6,-3.3961864,-5.3498864,-3.3927504,-5.3464504
123,InAlSe2+SInGaSe-2,1.994,Indirect,3.879,0.5439,0.0821,0.2311,0.4109,5,-4.49121,-6.48511,-4.5154583,-6.5093583
124,InAlSe2+TeInAlSe-2,1.075,Direct,3.975,0.2126,0.2753,0.6916,0,5,-4.1715893,-5.2465893,-4.2082615,-5.2832615
125,InAlSe2+SeInAlTe-3,1.884,Indirect,4.001,0.3216,0.0147,0.0905,0.5229,2,-3.0026624,-4.8871624,-4.606807,-6.491307
126,InAlSe2+SInAlTe-1,2.14,Indirect,3.96,0.142,0.3645,0.2347,0.3751,6,-3.3172812,-5.4573812,-3.3535715,-5.4936715
127,InGaS2+SeGaAlTe-1,1.66,Indirect,3.863,0.0787,0.5639,0.3748,0.2289,5,-3.8364741,-5.4965741,-4.4103715,-6.0704715
128,InGaS2+SInGaSe-2,1.967,Direct,3.807,0.0998,0.5448,0.392,0.2642,5,-4.6307067,-6.5979067,-4.6094275,-6.5766275
129,InGaS2+TeInGaS,0.437,Direct,3.868,0.7013,0,0.7027,0,1,-4.4123241,-4.8490241,-4.4527388,-4.8894388
130,InGaS2+SInGaSe-1,2.131,Indirect,3.81,0.127,0.5129,0.3202,0.3618,5,-4.0600628,-6.1914628,-4.087668,-6.219068
131,InAlTe2+SGaAlSe-1,0.412,Direct,3.963,0.0009,0.6893,0.0008,0.691,1,-4.2384296,-4.6505296,-4.09227,-4.50437
