,material,Gap,type_gap,lattice,cbm_up,cbm_down,vbm_up,vbm_down,lexing,form-energy,,
135,Al2SeTe+InGaS2-1,0.294,Direct,3.853,0.5861,0.0492,0.0009,0.5625,2,-0.14869995,,
136,Al2SeTe+InGaS2-2,0.472,Direct,3.854,0.6014,0.0306,0,0.5632,2,-0.12409638,,
137,Al2SeTe+InGaS2-3,0.344,Direct,3.853,0.5867,0.0481,0,0.5634,2,-0.13336122,,
138,Al2SeTe+InGaSe2,1.059,Indirect,3.929,0.5697,0.0467,0.2647,0.287,5,-0.21806324,,
139,Al2SeTe+InGaSe2-1,0.923,Direct,3.933,0.5815,0.0426,0.004,0.5495,2,-0.22586567,,
140,Al2SeTe+InGaSe2-2,1.081,Indirect,3.934,0.5643,0.051,0.2975,0.2654,5,-0.20730471,,
141,Al2SeTe+InGaSe2-3,0.993,Direct,3.935,0.5687,0.0506,0,0.5519,2,-0.2124328,,
142,Al2SeTe+InGaTe2,0.962,Indirect,4.082,0.2634,0.1198,0.6815,0,5,-0.06037285,,
143,Al2SeTe+InGaTe2-1,1.101,Indirect,4.079,0.4288,0.054,0.6769,0.0037,1,-0.06318943,,
144,GaAlS2+TeInGaSe,-0.094,Indirect,3.829,0.0897,0.2221,0.7067,0,3,0.30940932,,
145,GaAlS2+TeInGaSe-1,-0.089,Indirect,3.824,0.0361,0.2474,0.7079,0.0004,3,0.30247898,,
146,GaAlS2+TeInGaSe-2,0.008,Direct,3.829,0.2471,0.3494,0.7089,0,5,0.32899433,,
147,GaAlS2+TeInGaSe-3,0.052,Direct,3.827,0.2092,0.3694,0.7076,0.0002,5,0.32469787,,
148,GaAlS2+GaAlS2,1.371,Indirect,3.592,0.0037,0.2842,0.5187,0.0531,2,-0.170369,,
149,GaAlS2+GaAlS2-1,1.895,Indirect,3.593,0.1741,0.1037,0.277,0.2994,6,-0.16490938,,
150,GaAlS2+GaAlS2-2,1.773,Indirect,3.595,0.1416,0.1493,0.2934,0.2888,6,-0.17650608,,
151,GaAlS2+GaAlSe2,1.077,Indirect,3.687,0.005,0.2694,0.7294,0,2,-0.09162999,,
152,GaAlS2+GaAlSe2-1,1.502,Indirect,3.69,0.0127,0.2636,0.3736,0.2133,5,-0.09641007,,
153,GaAlS2+GaAlSe2-2,1.739,Indirect,3.688,0.0366,0.2348,0.2649,0.3192,5,-0.08459191,,
154,GaAlS2+GaAlSe2-3,1.537,Indirect,3.687,0.2828,0.0338,0.0892,0.4929,2,-0.08920641,,
155,GaAlS2+GaAlTe2,0.001,Direct,3.861,0.6647,0.0175,0.0689,0.5068,2,0.42071244,,
156,GaAlS2+GaAlTe2-1,0.136,Direct,3.859,0.0542,0.5189,0.6887,0.0003,2,0.41911705,,
157,GaAlS2+GaAlTe2-2,0.443,Direct,3.858,0.0248,0.5318,0.6889,0,2,0.43252793,,
